title,year,conf_abbr,subconf_abbr
Fostering innovation by unlearning tacit knowledge,2007,journals,kybernetes
Unlearning and forgetting in organizations: a systematic review of literature,2019,journals,jkm
Lifelong anomaly detection through unlearning,2019,conf,ccs
Machine unlearning for random forests,2021,conf,icml
Unlearning Aristotelian physics: A study of knowledge-based learning,1982,journals,cogsci
Learning unlearning and internationalisation: Evidence from the pre-export phase,2010,journals,ijinfoman
Towards probabilistic verification of machine unlearning,2020,journals,corr
Unlearning before creating new knowledge: A cognitive process.,2017,conf,hicss
Descent-to-delete: Gradient-based methods for machine unlearning,2021,conf,alt
Deep learning-based unlearning of dataset bias for MRI harmonisation and confound removal,2021,journals,neuroimage
Hedgecut: Maintaining randomised trees for low-latency machine unlearning,2021,conf,sigmod
Machine unlearning: Linear filtration for logit-based classifiers,2022,journals,ml
Fast yet effective machine unlearning,2021,journals,corr
Adversarial unlearning of backdoors via implicit hypergradient,2021,journals,corr
Coded machine unlearning,2021,journals,access
Organisational unlearning organisational flexibility and innovation capability: An empirical study of SMEs in China,2013,journals,ijtm
Quark: Controllable text generation with reinforced unlearning,2022,journals,corr
Federated unlearning for on-device recommendation,2023,conf,wsdm
Investigating the influence of unlearning on knowledge management in sport organizations,2018,journals,kybernetes
A survey of machine unlearning,2022,journals,corr
Certified graph unlearning,2022,journals,corr
Certifiable machine unlearning for linear models,2021,journals,corr
Learning to Unlearn: Instance-wise Unlearning for Pre-trained Classifiers,2023,journals,corr
Verifi: Towards verifiable federated unlearning,2022,journals,corr
Certifiable unlearning pipelines for logistic regression: An experimental study,2022,journals,make
Machine unlearning of features and labels,2021,journals,corr
Efficient two-stage model retraining for machine unlearning,2022,conf,cvpr
Unrolling sgd: Understanding factors influencing machine unlearning,2022,conf,eurosp
Hard to forget: Poisoning attacks on certified machine unlearning,2022,conf,aaai
Efficient repair of polluted machine learning systems via causal unlearning,2018,conf,ccs
Let machines unlearn–machine unlearning and the right to be forgotten,2017,conf,amcis
The consolidation of learning during sleep: comparing the pseudorehearsal and unlearning accounts,1999,journals,nn
Federated unlearning with knowledge distillation,2022,journals,corr
Organisational unlearning relearning and strategic flexibility: from the perspective of updating routines and knowledge,2020,journals,taasm
Federated Unlearning: How to Efficiently Erase a Client in FL?,2022,journals,corr
Verifiable and Provably Secure Machine Unlearning,2022,journals,corr
Machine learning and unlearning to autonomously switch between the functions of a myoelectric arm,2016,conf,biorob
Federated unlearning via class-discriminative pruning,2022,conf,www
Implementing telemedicine technologies through an unlearning context in a homecare setting,2013,journals,behaviourIT
Computer System Unlearning in Individuals,2015,conf,hicss
Can bad teaching induce forgetting? Unlearning in deep networks using an incompetent teacher,2022,journals,corr
Deep Regression Unlearning,2022,journals,corr
The role of absorptive capacity and organizational unlearning in the link between social media and service dominant orientation,2022,journals,jkm
Learning non-homogenous textures and the unlearning problem with application to drusen detection in retinal images,2008,conf,isbi
Balancing technology and physician–patient knowledge through an unlearning context,2011,journals,ijinfoman
Near-Optimal Task Selection for Meta-Learning with Mutual Information and Online Variational Bayesian Unlearning,2022,conf,aistats
Label‐only membership inference attacks on machine unlearning without dependence of posteriors,2022,journals,ijis
Error occurrence: Successful versus unsuccessful unlearning in individuals,2014,conf,hicss
Federated unlearning,2020,journals,corr
Federated Unlearning: Guarantee the Right of Clients to Forget,2022,journals,network
Knowledge Unlearning for Mitigating Privacy Risks in Language Models,2022,journals,corr
GNNDelete: A General Strategy for Unlearning in Graph Neural Networks,2023,journals,corr
Learning to unlearn: Building immunity to dataset bias in medical imaging studies,2018,journals,corr
Learning to unlearn,2016,conf,biorob
Skin deep unlearning: artefact and instrument debiasing in the context of melanoma classification,2021,journals,corr
Making Recommender Systems Forget: Learning and Unlearning for Erasable Recommendation,2022,journals,corr
Sequential Informed Federated Unlearning: Efficient and Provable Client Unlearning in Federated Optimization,2022,journals,corr
Universality of unlearning,1994,journals,nn
Few-Shot Unlearning by Model Inversion,2022,journals,corr
Unlearning helps,2000,conf,icalp
An Introduction to Machine Unlearning,2022,journals,corr
Machine Unlearning of Federated Clusters,2022,journals,corr
Compressed particle-based federated bayesian learning and unlearning,2022,journals,corr
Towards Unbounded Machine Unlearning,2023,journals,corr
Unlearning Nonlinear Graph Classifiers in the Limited Training Data Regime,2022,journals,corr
Adversarial Unlearning: Reducing Confidence Along Adversarial Directions,2022,journals,corr
To Be Forgotten or To Be Fair: Unveiling Fairness Implications of Machine Unlearning Methods,2023,journals,corr
LegoNet: A Fast and Exact Unlearning Architecture,2022,journals,corr
Machine Unlearning for Image Retrieval: A Generative Scrubbing Approach,2022,conf,mm
Machine unlearning: Its need and implementation strategies,2021,conf,ic3
Evaluating inexact unlearning requires revisiting forgetting,2022,journals,corr
Forget Unlearning: Towards True Data-Deletion in Machine Learning,2022,journals,corr
Subspace based Federated Unlearning,2023,journals,corr
Unlearning with technology,2016,journals,ile
Heterogeneous Federated Knowledge Graph Embedding Learning and Unlearning,2023,journals,corr
Two simple strategies to improve bidirectional associative memory's performance: unlearning and delta rule,1997,conf,icnn
Evaluating Machine Unlearning via Epistemic Uncertainty,2022,journals,corr
Boundary Unlearning,2023,journals,corr
Proof of Unlearning: Definitions and Instantiation,2022,journals,corr
Learning-unlearning for mining high resolution EO images,2007,conf,igarss
Netflix and Forget: Efficient and Exact Machine Unlearning from Bi-linear Recommendations,2023,journals,corr
Digital cultures of commemoration: Learning and unlearning history through video games,2015,conf,cscs
Unsupervised Unlearning of Concept Drift with Autoencoders,2022,journals,corr
Machine unlearning via GAN,2021,journals,corr
Unlearning from demonstration,2013,conf,ijcai
Property Unlearning: A Defense Strategy Against Property Inference Attacks,2022,journals,corr
Challenges and Pitfalls of Bayesian Unlearning,2022,journals,corr
Class Clown: Data Redaction in Machine Unlearning at Enterprise Scale,2020,journals,corr
Individual Unlearning as Enabler for Innovation in Agile Information Systems Development,2020,conf,ecis
A simple unlearning framework for online learning under concept drifts,2016,conf,pakdd
Feature Unlearning for Generative Models via Implicit Feedback,2023,journals,corr
Learn Unlearn and Relearn: An Online Learning Paradigm for Deep Neural Networks,2023,journals,corr
Vertical Machine Unlearning: Selectively Removing Sensitive Information From Latent Feature Space,2022,journals,corr
The margin perceptron with unlearning,2010,conf,icml
Dynamically Selected Mixup Machine Unlearning,2022,conf,trustcom
Hidden Poison: Machine unlearning enables camouflaged poisoning attacks,2022,journals,corr
A novel classification method with unlearned-class detection based on a gaussian mixture model,2014,conf,smc
Machine Unlearning: Learning Polluting and Unlearning for Spam Email,2021,journals,corr
Innovative Learning and Unlearning.,2005,conf,icce
Lightweight machine unlearning in neural network,2021,journals,corr
Learning unlearning and relearning-knowledge life cycles in library and information science education,2015,journals,efi
Learning and unlearning mechanisms in animats and animals,2000,journals,adb
Machine unlearning survey,2022,journals,corr
Retraining procedural programmers: a case against “unlearning”,1992,journals,oopsm
The converging unlearning algorithm for the Hopfield neural network: optimal strategy,1994,conf,icpr
Incremental and decremental support vector machine learning,2000,conf,nips
Deep learning achieves perfect anomaly detection on 108308 retinal images including unlearned diseases,2020,journals,corr
Managing obsolete knowledge: towards a clarified and contextualized conception of unlearning,2012,conf,ecis
Unlearning in crisis: Forces of change in unlearning,2022,conf,hicss